no match: /b{4,6}/ bbbdbtbbbj, bbbbbbb
no match: /g{1,6}/ ggvggbgggstg, gggggggg
MATCH: /s{1,4}/ lssss, ssss
MATCH: /v{13,14}/ hvvcvvvvvvvvvsvvv, vvvvvvvvvvvvvv
MATCH: /m{3,5}/ lcmmm, mmm
no match: /t{3,4}/ stht, tt
no match: /b{5,6}/ dbkbhb, bbb
MATCH: /p{4,7}/ ppfppppq, pppppp
MATCH: /j{4,5}/ jjjjj, jjjjj
MATCH: /s{3,12}/ sskssssssssss, ssssssssssss
no match: /z{14,15}/ zrndzbmrzzpzzqzj, zzzzzzz
MATCH: /l{12,18}/ tllllllllllllplllbl, llllllllllllllll
no match: /b{8,10}/ bdbvqbtbrb, bbbbb
no match: /c{1,3}/ tcqccc, cccc
MATCH: /n{1,2}/ nbnj, nn
no match: /c{5,7}/ ccccccccc, ccccccccc
no match: /l{9,10}/ hpmslrlgll, llll
MATCH: /n{6,9}/ nnnnnnnnb, nnnnnnnn
no match: /r{6,10}/ rmzjlrsxkbw, rr
no match: /r{6,8}/ bzqnnrrrj, rrr
no match: /c{4,14}/ mfffvcbtchzrqcn, ccc
no match: /f{1,6}/ ffffffffffffff, ffffffffffffff
no match: /f{2,5}/ wxtkf, f
no match: /b{8,12}/ rdcbbjbzbbpb, bbbbbb
MATCH: /d{8,18}/ ddtdddddddwvdfdsdd, ddddddddddddd
MATCH: /s{5,8}/ sssmsgpgszms, ssssss
MATCH: /x{6,11}/ xxxxxvxxxxxt, xxxxxxxxxx
no match: /n{17,18}/ jhrnnzpxzngfqrntmnc, nnnnn
no match: /r{13,14}/ rrrmrrrrlrrshvrrr, rrrrrrrrrrrr
no match: /h{4,5}/ hhhhrhh, hhhhhh
no match: /d{8,10}/ dgwtdsxnncd, ddd
MATCH: /q{9,13}/ qqbpqmqgmqwqbqqqxcgq, qqqqqqqqqq
MATCH: /g{2,5}/ gjjcpgg, ggg
MATCH: /t{6,12}/ ttttvttttttrtt, tttttttttttt
